date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:48:56	283902/283902	---M-Z	200	added ('OK')	text/html	etag:W/%225ee893c0-454fe%22	https://transvelo.github.io/electro-html/home.html	/Users/thiemdao/Desktop/project/theme/electro-html/transvelo.github.io/electro-html/home.html	(from )
19:48:57	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22672c11f8-239b%22	https://transvelo.github.io/robots.txt		(from )
19:48:58	95568/95568	---M-Z	200	added ('OK')	text/css	etag:W/%225ee893c0-17550%22	https://transvelo.github.io/electro-html/assets/css/bootstrap.min.css	/Users/thiemdao/Desktop/project/theme/electro-html/transvelo.github.io/electro-html/assets/css/bootstrap.min.css	(from https://transvelo.github.io/electro-html/home.html)
19:48:58	27468/27468	---M-Z	200	added ('OK')	text/css	etag:W/%225ee893c0-6b4c%22	https://transvelo.github.io/electro-html/assets/css/font-awesome.min.css	/Users/thiemdao/Desktop/project/theme/electro-html/transvelo.github.io/electro-html/assets/css/font-awesome.min.css	(from https://transvelo.github.io/electro-html/home.html)
19:48:59	52609/52609	---M-Z	200	added ('OK')	text/css	etag:W/%225ee893c0-cd81%22	https://transvelo.github.io/electro-html/assets/css/animate.min.css	/Users/thiemdao/Desktop/project/theme/electro-html/transvelo.github.io/electro-html/assets/css/animate.min.css	(from https://transvelo.github.io/electro-html/home.html)
19:49:00	2743/2743	---M-Z	200	added ('OK')	text/css	etag:W/%225ee893c0-ab7%22	https://transvelo.github.io/electro-html/assets/css/font-electro.css	/Users/thiemdao/Desktop/project/theme/electro-html/transvelo.github.io/electro-html/assets/css/font-electro.css	(from https://transvelo.github.io/electro-html/home.html)
19:49:01	2607/2607	---M-Z	200	added ('OK')	text/css	etag:W/%225ee893c0-a2f%22	https://transvelo.github.io/electro-html/assets/css/owl-carousel.css	/Users/thiemdao/Desktop/project/theme/electro-html/transvelo.github.io/electro-html/assets/css/owl-carousel.css	(from https://transvelo.github.io/electro-html/home.html)
19:49:02	459984/459984	---M-Z	200	added ('OK')	text/css	etag:W/%225ee893c0-704d0%22	https://transvelo.github.io/electro-html/assets/css/style.css	/Users/thiemdao/Desktop/project/theme/electro-html/transvelo.github.io/electro-html/assets/css/style.css	(from https://transvelo.github.io/electro-html/home.html)
19:49:03	14852/14852	---M-Z	200	added ('OK')	text/css	etag:W/%225ee893c0-3a04%22	https://transvelo.github.io/electro-html/assets/css/colors/yellow.css	/Users/thiemdao/Desktop/project/theme/electro-html/transvelo.github.io/electro-html/assets/css/colors/yellow.css	(from https://transvelo.github.io/electro-html/home.html)
19:49:04	2943/2943	---M-Z	200	added ('OK')	text/css	etag:W/%225ee893c0-b7f%22	https://transvelo.github.io/electro-html/assets/css/config.css	/Users/thiemdao/Desktop/project/theme/electro-html/transvelo.github.io/electro-html/assets/css/config.css	(from https://transvelo.github.io/electro-html/home.html)
19:49:05	17564/17564	---M-Z	200	added ('OK')	text/css	etag:W/%225ee893c0-449c%22	https://transvelo.github.io/electro-html/assets/css/colors/green.css	/Users/thiemdao/Desktop/project/theme/electro-html/transvelo.github.io/electro-html/assets/css/colors/green.css	(from https://transvelo.github.io/electro-html/home.html)
19:49:06	17563/17563	---M-Z	200	added ('OK')	text/css	etag:W/%225ee893c0-449b%22	https://transvelo.github.io/electro-html/assets/css/colors/pink.css	/Users/thiemdao/Desktop/project/theme/electro-html/transvelo.github.io/electro-html/assets/css/colors/pink.css	(from https://transvelo.github.io/electro-html/home.html)
19:49:07	17563/17563	---M-Z	200	added ('OK')	text/css	etag:W/%225ee893c0-449b%22	https://transvelo.github.io/electro-html/assets/css/colors/blue.css	/Users/thiemdao/Desktop/project/theme/electro-html/transvelo.github.io/electro-html/assets/css/colors/blue.css	(from https://transvelo.github.io/electro-html/home.html)
19:49:08	17562/17562	---M-Z	200	added ('OK')	text/css	etag:W/%225ee893c0-449a%22	https://transvelo.github.io/electro-html/assets/css/colors/red.css	/Users/thiemdao/Desktop/project/theme/electro-html/transvelo.github.io/electro-html/assets/css/colors/red.css	(from https://transvelo.github.io/electro-html/home.html)
19:49:09	17565/17565	---M-Z	200	added ('OK')	text/css	etag:W/%225ee893c0-449d%22	https://transvelo.github.io/electro-html/assets/css/colors/orange.css	/Users/thiemdao/Desktop/project/theme/electro-html/transvelo.github.io/electro-html/assets/css/colors/orange.css	(from https://transvelo.github.io/electro-html/home.html)
19:49:10	17497/17497	---M-Z	200	added ('OK')	text/css	etag:W/%225ee893c0-4459%22	https://transvelo.github.io/electro-html/assets/css/colors/black.css	/Users/thiemdao/Desktop/project/theme/electro-html/transvelo.github.io/electro-html/assets/css/colors/black.css	(from https://transvelo.github.io/electro-html/home.html)
19:49:11	17563/17563	---M-Z	200	added ('OK')	text/css	etag:W/%225ee893c0-449b%22	https://transvelo.github.io/electro-html/assets/css/colors/gold.css	/Users/thiemdao/Desktop/project/theme/electro-html/transvelo.github.io/electro-html/assets/css/colors/gold.css	(from https://transvelo.github.io/electro-html/home.html)
19:49:12	17568/17568	---M-Z	200	added ('OK')	text/css	etag:W/%225ee893c0-44a0%22	https://transvelo.github.io/electro-html/assets/css/colors/flat-blue.css	/Users/thiemdao/Desktop/project/theme/electro-html/transvelo.github.io/electro-html/assets/css/colors/flat-blue.css	(from https://transvelo.github.io/electro-html/home.html)
19:49:13	670/670	---M--	200	added ('OK')	image/png	etag:%225ee893c0-29e%22	https://transvelo.github.io/electro-html/assets/images/fav-icon.png	/Users/thiemdao/Desktop/project/theme/electro-html/transvelo.github.io/electro-html/assets/images/fav-icon.png	(from https://transvelo.github.io/electro-html/home.html)
19:49:14	159552/159552	---M-Z	200	added ('OK')	text/html	etag:W/%225ee893c0-26f40%22	https://transvelo.github.io/electro-html/track-your-order.html	/Users/thiemdao/Desktop/project/theme/electro-html/transvelo.github.io/electro-html/track-your-order.html	(from https://transvelo.github.io/electro-html/home.html)
19:49:15	432288/432288	---M-Z	200	added ('OK')	text/html	etag:W/%225ee893c0-698a0%22	https://transvelo.github.io/electro-html/shop.html	/Users/thiemdao/Desktop/project/theme/electro-html/transvelo.github.io/electro-html/shop.html	(from https://transvelo.github.io/electro-html/home.html)
19:49:16	161874/161874	---M-Z	200	added ('OK')	text/html	etag:W/%225ee893c0-27852%22	https://transvelo.github.io/electro-html/my-account.html	/Users/thiemdao/Desktop/project/theme/electro-html/transvelo.github.io/electro-html/my-account.html	(from https://transvelo.github.io/electro-html/home.html)
19:49:17	179611/179611	---M-Z	200	added ('OK')	text/html	etag:W/%225ee893c0-2bd9b%22	https://transvelo.github.io/electro-html/cart.html	/Users/thiemdao/Desktop/project/theme/electro-html/transvelo.github.io/electro-html/cart.html	(from https://transvelo.github.io/electro-html/home.html)
19:49:18	223014/223014	---M-Z	200	added ('OK')	text/html	etag:W/%225ee893c0-36726%22	https://transvelo.github.io/electro-html/single-product.html	/Users/thiemdao/Desktop/project/theme/electro-html/transvelo.github.io/electro-html/single-product.html	(from https://transvelo.github.io/electro-html/home.html)
19:49:19	3906/3906	---M--	200	added ('OK')	image/jpeg	etag:%225ee893c0-f42%22	https://transvelo.github.io/electro-html/assets/images/products/mini-cart1.jpg	/Users/thiemdao/Desktop/project/theme/electro-html/transvelo.github.io/electro-html/assets/images/products/mini-cart1.jpg	(from https://transvelo.github.io/electro-html/home.html)
19:49:20	2800/2800	---M--	200	added ('OK')	image/jpeg	etag:%225ee893c0-af0%22	https://transvelo.github.io/electro-html/assets/images/products/mini-cart2.jpg	/Users/thiemdao/Desktop/project/theme/electro-html/transvelo.github.io/electro-html/assets/images/products/mini-cart2.jpg	(from https://transvelo.github.io/electro-html/home.html)
19:49:21	7582/7582	---M--	200	added ('OK')	image/jpeg	etag:%225ee893c0-1d9e%22	https://transvelo.github.io/electro-html/assets/images/products/mini-cart3.jpg	/Users/thiemdao/Desktop/project/theme/electro-html/transvelo.github.io/electro-html/assets/images/products/mini-cart3.jpg	(from https://transvelo.github.io/electro-html/home.html)
19:49:22	172271/172271	---M-Z	200	added ('OK')	text/html	etag:W/%225ee893c0-2a0ef%22	https://transvelo.github.io/electro-html/checkout.html	/Users/thiemdao/Desktop/project/theme/electro-html/transvelo.github.io/electro-html/checkout.html	(from https://transvelo.github.io/electro-html/home.html)
19:49:23	167017/167017	---M-Z	200	added ('OK')	text/html	etag:W/%225ee893c0-28c69%22	https://transvelo.github.io/electro-html/wishlist.html	/Users/thiemdao/Desktop/project/theme/electro-html/transvelo.github.io/electro-html/wishlist.html	(from https://transvelo.github.io/electro-html/home.html)
19:49:24	168917/168917	---M-Z	200	added ('OK')	text/html	etag:W/%225ee893c0-293d5%22	https://transvelo.github.io/electro-html/compare.html	/Users/thiemdao/Desktop/project/theme/electro-html/transvelo.github.io/electro-html/compare.html	(from https://transvelo.github.io/electro-html/home.html)
19:49:25	301935/301935	---M-Z	200	added ('OK')	text/html	etag:W/%225ee893c0-49b6f%22	https://transvelo.github.io/electro-html/home-v2.html	/Users/thiemdao/Desktop/project/theme/electro-html/transvelo.github.io/electro-html/home-v2.html	(from https://transvelo.github.io/electro-html/home.html)
19:49:26	248868/248868	---M-Z	200	added ('OK')	text/html	etag:W/%225ee893c0-3cc24%22	https://transvelo.github.io/electro-html/home-v3.html	/Users/thiemdao/Desktop/project/theme/electro-html/transvelo.github.io/electro-html/home-v3.html	(from https://transvelo.github.io/electro-html/home.html)
19:49:27	158899/158899	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225ee893c0-26cb3%22	https://transvelo.github.io/electro-html/home-v3-full-color-background.html	/Users/thiemdao/Desktop/project/theme/electro-html/transvelo.github.io/electro-html/home-v3-full-color-background.html	(from https://transvelo.github.io/electro-html/home.html)
19:49:28	184476/184476	---M-Z	200	added ('OK')	text/html	etag:W/%225ee893c0-2d09c%22	https://transvelo.github.io/electro-html/product-category.html	/Users/thiemdao/Desktop/project/theme/electro-html/transvelo.github.io/electro-html/product-category.html	(from https://transvelo.github.io/electro-html/home.html)
19:49:29	72324/72324	---M--	200	added ('OK')	image/png	etag:%225ee893c0-11a84%22	https://transvelo.github.io/electro-html/assets/images/megamenu-2.png	/Users/thiemdao/Desktop/project/theme/electro-html/transvelo.github.io/electro-html/assets/images/megamenu-2.png	(from https://transvelo.github.io/electro-html/home.html)
19:49:30	176878/176878	---M-Z	200	added ('OK')	text/html	etag:W/%225ee893c0-2b2ee%22	https://transvelo.github.io/electro-html/blog-v1.html	/Users/thiemdao/Desktop/project/theme/electro-html/transvelo.github.io/electro-html/blog-v1.html	(from https://transvelo.github.io/electro-html/home.html)
19:49:31	176888/176888	---M-Z	200	added ('OK')	text/html	etag:W/%225ee893c0-2b2f8%22	https://transvelo.github.io/electro-html/blog-v2.html	/Users/thiemdao/Desktop/project/theme/electro-html/transvelo.github.io/electro-html/blog-v2.html	(from https://transvelo.github.io/electro-html/home.html)
19:49:32	251106/251106	---M-Z	200	added ('OK')	text/html	etag:W/%225ee893c0-3d4e2%22	https://transvelo.github.io/electro-html/home-v3-full-color.html	/Users/thiemdao/Desktop/project/theme/electro-html/transvelo.github.io/electro-html/home-v3-full-color.html	(from https://transvelo.github.io/electro-html/home.html)
19:49:34	226145/226145	---M--	200	added ('OK')	image/jpeg	etag:%225ee893c0-37361%22	https://transvelo.github.io/electro-html/assets/images/slider/banner-2.jpg	/Users/thiemdao/Desktop/project/theme/electro-html/transvelo.github.io/electro-html/assets/images/slider/banner-2.jpg	(from https://transvelo.github.io/electro-html/home.html)
19:49:35	214712/214712	---M--	200	added ('OK')	image/jpeg	etag:%225ee893c0-346b8%22	https://transvelo.github.io/electro-html/assets/images/slider/banner-1.jpg	/Users/thiemdao/Desktop/project/theme/electro-html/transvelo.github.io/electro-html/assets/images/slider/banner-1.jpg	(from https://transvelo.github.io/electro-html/home.html)
19:49:36	153108/153108	---M--	200	added ('OK')	image/jpeg	etag:%225ee893c0-25614%22	https://transvelo.github.io/electro-html/assets/images/slider/banner-3.jpg	/Users/thiemdao/Desktop/project/theme/electro-html/transvelo.github.io/electro-html/assets/images/slider/banner-3.jpg	(from https://transvelo.github.io/electro-html/home.html)
19:49:36	42/42	---M--	200	added ('OK')	image/gif	etag:%225ee893c0-2a%22	https://transvelo.github.io/electro-html/assets/images/blank.gif	/Users/thiemdao/Desktop/project/theme/electro-html/transvelo.github.io/electro-html/assets/images/blank.gif	(from https://transvelo.github.io/electro-html/home.html)
19:49:37	158899/158899	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225ee893c0-26cb3%22	https://transvelo.github.io/electro-html/hsingle-product.html	/Users/thiemdao/Desktop/project/theme/electro-html/transvelo.github.io/electro-html/hsingle-product.html	(from https://transvelo.github.io/electro-html/home.html)
19:49:38	4687/4687	---M--	200	added ('OK')	image/png	etag:%225ee893c0-124f%22	https://transvelo.github.io/electro-html/assets/images/footer/payment-icon/1.png	/Users/thiemdao/Desktop/project/theme/electro-html/transvelo.github.io/electro-html/assets/images/footer/payment-icon/1.png	(from https://transvelo.github.io/electro-html/home.html)
19:49:39	8146/8146	---M--	200	added ('OK')	image/png	etag:%225ee893c0-1fd2%22	https://transvelo.github.io/electro-html/assets/images/footer/payment-icon/2.png	/Users/thiemdao/Desktop/project/theme/electro-html/transvelo.github.io/electro-html/assets/images/footer/payment-icon/2.png	(from https://transvelo.github.io/electro-html/home.html)
